DATES,PEN
31/12/1994,2.185
31/01/1995,2.194
28/02/1995,2.237
31/03/1995,2.258
30/04/1995,2.245
31/05/1995,2.245
30/06/1995,2.23
31/07/1995,2.239
31/08/1995,2.249
30/09/1995,2.244
31/10/1995,2.269
30/11/1995,2.325
31/12/1995,2.322
31/01/1996,2.359
29/02/1996,2.359
31/03/1996,2.358
30/04/1996,2.3735
31/05/1996,2.4165
30/06/1996,2.4465
31/07/1996,2.4545
31/08/1996,2.463
30/09/1996,2.511
31/10/1996,2.561
30/11/1996,2.5905
31/12/1996,2.5965
31/01/1997,2.6415
28/02/1997,2.6435
31/03/1997,2.643
30/04/1997,2.6685
31/05/1997,2.6655
30/06/1997,2.65
31/07/1997,2.64
31/08/1997,2.655
30/09/1997,2.6485
31/10/1997,2.7025
30/11/1997,2.732
31/12/1997,2.738
31/01/1998,2.7685
28/02/1998,2.8135
31/03/1998,2.8135
30/04/1998,2.8295
31/05/1998,2.859
30/06/1998,2.935
31/07/1998,2.9275
31/08/1998,3.0465
30/09/1998,3.052
31/10/1998,3.069
30/11/1998,3.126
31/12/1998,3.1565
31/01/1999,3.351
28/02/1999,3.41
31/03/1999,3.333
30/04/1999,3.338
31/05/1999,3.3315
30/06/1999,3.332
31/07/1999,3.336
31/08/1999,3.3865
30/09/1999,3.463
31/10/1999,3.4855
30/11/1999,3.489
31/12/1999,3.507
31/01/2000,3.484
29/02/2000,3.436
31/03/2000,3.481
30/04/2000,3.4755
31/05/2000,3.496
30/06/2000,3.487
31/07/2000,3.4728
31/08/2000,3.47
30/09/2000,3.507
31/10/2000,3.509
30/11/2000,3.5285
31/12/2000,3.525
31/01/2001,3.5335
28/02/2001,3.5205
31/03/2001,3.523
30/04/2001,3.584
31/05/2001,3.632
30/06/2001,3.5075
31/07/2001,3.49
31/08/2001,3.4795
30/09/2001,3.4805
31/10/2001,3.4395
30/11/2001,3.4325
31/12/2001,3.4435
31/01/2002,3.4698
28/02/2002,3.4708
31/03/2002,3.4435
30/04/2002,3.432
31/05/2002,3.453
30/06/2002,3.5085
31/07/2002,3.5745
31/08/2002,3.6198
30/09/2002,3.6313
31/10/2002,3.6035
30/11/2002,3.507
31/12/2002,3.5145
31/01/2003,3.4853
28/02/2003,3.4783
31/03/2003,3.4742
30/04/2003,3.4616
31/05/2003,3.4945
30/06/2003,3.4675
31/07/2003,3.4728
31/08/2003,3.4825
30/09/2003,3.4829
31/10/2003,3.4716
30/11/2003,3.4798
31/12/2003,3.4618
31/01/2004,3.4995
29/02/2004,3.4725
31/03/2004,3.4595
30/04/2004,3.482
31/05/2004,3.4875
30/06/2004,3.4685
31/07/2004,3.4175
31/08/2004,3.366
30/09/2004,3.3393
31/10/2004,3.3245
30/11/2004,3.3035
31/12/2004,3.279
31/01/2005,3.2619
28/02/2005,3.2555
31/03/2005,3.2605
30/04/2005,3.2555
31/05/2005,3.2545
30/06/2005,3.2535
31/07/2005,3.251
31/08/2005,3.2805
30/09/2005,3.34
31/10/2005,3.375
30/11/2005,3.4075
31/12/2005,3.4205
31/01/2006,3.31
28/02/2006,3.295
31/03/2006,3.3688
30/04/2006,3.305
31/05/2006,3.2985
30/06/2006,3.2625
31/07/2006,3.2405
31/08/2006,3.242
30/09/2006,3.2505
31/10/2006,3.217
30/11/2006,3.2165
31/12/2006,3.1956
31/01/2007,3.1975
28/02/2007,3.1895
31/03/2007,3.1825
30/04/2007,3.173
31/05/2007,3.175
30/06/2007,3.166
31/07/2007,3.1603
31/08/2007,3.161
30/09/2007,3.0845
31/10/2007,3.0006
30/11/2007,2.9969
31/12/2007,2.998
31/01/2008,2.935
29/02/2008,2.8895
31/03/2008,2.7505
30/04/2008,2.8165
31/05/2008,2.856
30/06/2008,2.961
31/07/2008,2.811
31/08/2008,2.9515
30/09/2008,2.9825
31/10/2008,3.075
30/11/2008,3.0995
31/12/2008,3.1345
31/01/2009,3.1865
28/02/2009,3.2505
31/03/2009,3.1527
30/04/2009,2.9805
31/05/2009,2.9855
30/06/2009,3.0065
31/07/2009,2.986
31/08/2009,2.953
30/09/2009,2.882
31/10/2009,2.909
30/11/2009,2.8805
31/12/2009,2.888
31/01/2010,2.857
28/02/2010,2.847
31/03/2010,2.842
30/04/2010,2.8465
31/05/2010,2.845
30/06/2010,2.8255
31/07/2010,2.82
31/08/2010,2.797
30/09/2010,2.7861
31/10/2010,2.7985
30/11/2010,2.8315
31/12/2010,2.8063
31/01/2011,2.77
28/02/2011,2.7745
31/03/2011,2.8025
30/04/2011,2.828
31/05/2011,2.766
30/06/2011,2.7495
31/07/2011,2.7382
31/08/2011,2.7265
30/09/2011,2.774
31/10/2011,2.707
30/11/2011,2.6995
31/12/2011,2.6965
31/01/2012,2.689
29/02/2012,2.6775
31/03/2012,2.6685
30/04/2012,2.6345
31/05/2012,2.7105
30/06/2012,2.664
31/07/2012,2.6265
31/08/2012,2.6115
30/09/2012,2.5975
31/10/2012,2.596
30/11/2012,2.5815
31/12/2012,2.5515
31/01/2013,2.5755
28/02/2013,2.5855
31/03/2013,2.5895
30/04/2013,2.643
31/05/2013,2.736
30/06/2013,2.7805
31/07/2013,2.7945
31/08/2013,2.8105
30/09/2013,2.7815
31/10/2013,2.774
30/11/2013,2.8025
31/12/2013,2.799
31/01/2014,2.8225
28/02/2014,2.799
31/03/2014,2.8085
30/04/2014,2.8075
31/05/2014,2.7655
30/06/2014,2.7985
